Date,Number_of_Mandates_On,State_Name
9/19/2020,2,AK
9/20/2020,2,AK
9/21/2020,2,AK
9/22/2020,2,AK
9/23/2020,2,AK
9/24/2020,2,AK
9/25/2020,2,AK
9/26/2020,2,AK
9/27/2020,2,AK
9/28/2020,2,AK
9/29/2020,2,AK
9/30/2020,2,AK
10/1/2020,2,AK
10/2/2020,2,AK
10/3/2020,2,AK
10/4/2020,2,AK
10/5/2020,2,AK
10/6/2020,2,AK
10/7/2020,2,AK
10/8/2020,2,AK
10/9/2020,2,AK
10/10/2020,2,AK
10/11/2020,2,AK
2/1/2020,0,AL
3/19/2020,3,AL
3/28/2020,4,AL
4/4/2020,5,AL
4/30/2020,3,AL
6/15/2020,2,AL
2/2/2020,0,AL
2/3/2020,0,AL
2/4/2020,0,AL
2/5/2020,0,AL
2/6/2020,0,AL
2/7/2020,0,AL
2/8/2020,0,AL
2/9/2020,0,AL
2/10/2020,0,AL
2/11/2020,0,AL
2/12/2020,0,AL
2/13/2020,0,AL
2/14/2020,0,AL
2/15/2020,0,AL
2/16/2020,0,AL
2/17/2020,0,AL
2/18/2020,0,AL
2/19/2020,0,AL
2/20/2020,0,AL
2/21/2020,0,AL
2/22/2020,0,AL
2/23/2020,0,AL
2/24/2020,0,AL
2/25/2020,0,AL
2/26/2020,0,AL
2/27/2020,0,AL
2/28/2020,0,AL
2/29/2020,0,AL
3/1/2020,0,AL
3/2/2020,0,AL
3/3/2020,0,AL
3/4/2020,0,AL
3/5/2020,0,AL
3/6/2020,0,AL
3/7/2020,0,AL
3/8/2020,0,AL
3/9/2020,0,AL
3/10/2020,0,AL
3/11/2020,0,AL
3/12/2020,0,AL
3/13/2020,0,AL
3/14/2020,0,AL
3/15/2020,0,AL
3/16/2020,0,AL
3/17/2020,0,AL
3/18/2020,0,AL
3/20/2020,3,AL
3/21/2020,3,AL
3/22/2020,3,AL
3/23/2020,3,AL
3/24/2020,3,AL
3/25/2020,3,AL
3/26/2020,3,AL
3/27/2020,3,AL
3/29/2020,4,AL
3/30/2020,4,AL
3/31/2020,4,AL
4/1/2020,4,AL
4/2/2020,4,AL
4/3/2020,4,AL
4/5/2020,5,AL
4/6/2020,5,AL
4/7/2020,5,AL
4/8/2020,5,AL
4/9/2020,5,AL
4/10/2020,5,AL
4/11/2020,5,AL
4/12/2020,5,AL
4/13/2020,5,AL
4/14/2020,5,AL
4/15/2020,5,AL
4/16/2020,5,AL
4/17/2020,5,AL
4/18/2020,5,AL
4/19/2020,5,AL
4/20/2020,5,AL
4/21/2020,5,AL
4/22/2020,5,AL
4/23/2020,5,AL
4/24/2020,5,AL
4/25/2020,5,AL
4/26/2020,5,AL
4/27/2020,5,AL
4/28/2020,5,AL
4/29/2020,5,AL
5/1/2020,3,AL
5/2/2020,3,AL
5/3/2020,3,AL
5/4/2020,3,AL
5/5/2020,3,AL
5/6/2020,3,AL
5/7/2020,3,AL
5/8/2020,3,AL
5/9/2020,3,AL
5/10/2020,3,AL
5/11/2020,3,AL
5/12/2020,3,AL
5/13/2020,3,AL
5/14/2020,3,AL
5/15/2020,3,AL
5/16/2020,3,AL
5/17/2020,3,AL
5/18/2020,3,AL
5/19/2020,3,AL
5/20/2020,3,AL
5/21/2020,3,AL
5/22/2020,3,AL
5/23/2020,3,AL
5/24/2020,3,AL
5/25/2020,3,AL
5/26/2020,3,AL
5/27/2020,3,AL
5/28/2020,3,AL
5/29/2020,3,AL
5/30/2020,3,AL
5/31/2020,3,AL
6/1/2020,3,AL
6/2/2020,3,AL
6/3/2020,3,AL
6/4/2020,3,AL
6/5/2020,3,AL
6/6/2020,3,AL
6/7/2020,3,AL
6/8/2020,3,AL
6/9/2020,3,AL
6/10/2020,3,AL
6/11/2020,3,AL
6/12/2020,3,AL
6/13/2020,3,AL
6/14/2020,3,AL
6/16/2020,2,AL
6/17/2020,2,AL
6/18/2020,2,AL
6/19/2020,2,AL
6/20/2020,2,AL
6/21/2020,2,AL
6/22/2020,2,AL
6/23/2020,2,AL
6/24/2020,2,AL
6/25/2020,2,AL
6/26/2020,2,AL
6/27/2020,2,AL
6/28/2020,2,AL
6/29/2020,2,AL
6/30/2020,2,AL
7/1/2020,2,AL
7/2/2020,2,AL
7/3/2020,2,AL
7/4/2020,2,AL
7/5/2020,2,AL
7/6/2020,2,AL
7/7/2020,2,AL
7/8/2020,2,AL
7/9/2020,2,AL
7/10/2020,2,AL
7/11/2020,2,AL
7/12/2020,2,AL
7/13/2020,2,AL
7/14/2020,2,AL
7/15/2020,2,AL
7/16/2020,2,AL
7/17/2020,2,AL
7/18/2020,2,AL
7/19/2020,2,AL
7/20/2020,2,AL
7/21/2020,2,AL
7/22/2020,2,AL
7/23/2020,2,AL
7/24/2020,2,AL
7/25/2020,2,AL
7/26/2020,2,AL
7/27/2020,2,AL
7/28/2020,2,AL
7/29/2020,2,AL
7/30/2020,2,AL
7/31/2020,2,AL
8/1/2020,2,AL
8/2/2020,2,AL
8/3/2020,2,AL
8/4/2020,2,AL
8/5/2020,2,AL
8/6/2020,2,AL
8/7/2020,2,AL
8/8/2020,2,AL
8/9/2020,2,AL
8/10/2020,2,AL
8/11/2020,2,AL
8/12/2020,2,AL
8/13/2020,2,AL
8/14/2020,2,AL
8/15/2020,2,AL
8/16/2020,2,AL
8/17/2020,2,AL
8/18/2020,2,AL
8/19/2020,2,AL
8/20/2020,2,AL
8/21/2020,2,AL
8/22/2020,2,AL
8/23/2020,2,AL
8/24/2020,2,AL
8/25/2020,2,AL
8/26/2020,2,AL
8/27/2020,2,AL
8/28/2020,2,AL
8/29/2020,2,AL
8/30/2020,2,AL
8/31/2020,2,AL
9/1/2020,2,AL
9/2/2020,2,AL
9/3/2020,2,AL
9/4/2020,2,AL
9/5/2020,2,AL
9/6/2020,2,AL
9/7/2020,2,AL
9/8/2020,2,AL
9/9/2020,2,AL
9/10/2020,2,AL
9/11/2020,2,AL
9/12/2020,2,AL
9/13/2020,2,AL
9/14/2020,2,AL
9/15/2020,2,AL
9/16/2020,2,AL
9/17/2020,2,AL
9/18/2020,2,AL
9/19/2020,2,AL
9/20/2020,2,AL
9/21/2020,2,AL
9/22/2020,2,AL
9/23/2020,2,AL
9/24/2020,2,AL
9/25/2020,2,AL
9/26/2020,2,AL
9/27/2020,2,AL
9/28/2020,2,AL
9/29/2020,2,AL
9/30/2020,2,AL
10/1/2020,2,AL
10/2/2020,2,AL
10/3/2020,2,AL
10/4/2020,2,AL
10/5/2020,2,AL
10/6/2020,2,AL
10/7/2020,2,AL
10/8/2020,2,AL
10/9/2020,2,AL
10/10/2020,2,AL
10/11/2020,2,AL
2/1/2020,0,AR
3/17/2020,1,AR
3/19/2020,2,AR
3/27/2020,3,AR
6/18/2020,2,AR
8/24/2020,1,AR
2/2/2020,0,AR
2/3/2020,0,AR
2/4/2020,0,AR
2/5/2020,0,AR
2/6/2020,0,AR
2/7/2020,0,AR
2/8/2020,0,AR
2/9/2020,0,AR
2/10/2020,0,AR
2/11/2020,0,AR
2/12/2020,0,AR
2/13/2020,0,AR
2/14/2020,0,AR
2/15/2020,0,AR
2/16/2020,0,AR
2/17/2020,0,AR
2/18/2020,0,AR
2/19/2020,0,AR
2/20/2020,0,AR
2/21/2020,0,AR
2/22/2020,0,AR
2/23/2020,0,AR
2/24/2020,0,AR
2/25/2020,0,AR
2/26/2020,0,AR
2/27/2020,0,AR
2/28/2020,0,AR
2/29/2020,0,AR
3/1/2020,0,AR
3/2/2020,0,AR
3/3/2020,0,AR
3/4/2020,0,AR
3/5/2020,0,AR
3/6/2020,0,AR
3/7/2020,0,AR
3/8/2020,0,AR
3/9/2020,0,AR
3/10/2020,0,AR
3/11/2020,0,AR
3/12/2020,0,AR
3/13/2020,0,AR
3/14/2020,0,AR
3/15/2020,0,AR
3/16/2020,0,AR
3/18/2020,1,AR
3/20/2020,2,AR
3/21/2020,2,AR
3/22/2020,2,AR
3/23/2020,2,AR
3/24/2020,2,AR
3/25/2020,2,AR
3/26/2020,2,AR
3/28/2020,3,AR
3/29/2020,3,AR
3/30/2020,3,AR
3/31/2020,3,AR
4/1/2020,3,AR
4/2/2020,3,AR
4/3/2020,3,AR
4/4/2020,3,AR
4/5/2020,3,AR
4/6/2020,3,AR
4/7/2020,3,AR
4/8/2020,3,AR
4/9/2020,3,AR
4/10/2020,3,AR
4/11/2020,3,AR
4/12/2020,3,AR
4/13/2020,3,AR
4/14/2020,3,AR
4/15/2020,3,AR
4/16/2020,3,AR
4/17/2020,3,AR
4/18/2020,3,AR
4/19/2020,3,AR
4/20/2020,3,AR
4/21/2020,3,AR
4/22/2020,3,AR
4/23/2020,3,AR
4/24/2020,3,AR
4/25/2020,3,AR
4/26/2020,3,AR
4/27/2020,3,AR
4/28/2020,3,AR
4/29/2020,3,AR
4/30/2020,3,AR
5/1/2020,3,AR
5/2/2020,3,AR
5/3/2020,3,AR
5/4/2020,3,AR
5/5/2020,3,AR
5/6/2020,3,AR
5/7/2020,3,AR
5/8/2020,3,AR
5/9/2020,3,AR
5/10/2020,3,AR
5/11/2020,3,AR
5/12/2020,3,AR
5/13/2020,3,AR
5/14/2020,3,AR
5/15/2020,3,AR
5/16/2020,3,AR
5/17/2020,3,AR
5/18/2020,3,AR
5/19/2020,3,AR
5/20/2020,3,AR
5/21/2020,3,AR
5/22/2020,3,AR
5/23/2020,3,AR
5/24/2020,3,AR
5/25/2020,3,AR
5/26/2020,3,AR
5/27/2020,3,AR
5/28/2020,3,AR
5/29/2020,3,AR
5/30/2020,3,AR
5/31/2020,3,AR
6/1/2020,3,AR
6/2/2020,3,AR
6/3/2020,3,AR
6/4/2020,3,AR
6/5/2020,3,AR
6/6/2020,3,AR
6/7/2020,3,AR
6/8/2020,3,AR
6/9/2020,3,AR
6/10/2020,3,AR
6/11/2020,3,AR
6/12/2020,3,AR
6/13/2020,3,AR
6/14/2020,3,AR
6/15/2020,3,AR
6/16/2020,3,AR
6/17/2020,3,AR
6/19/2020,2,AR
6/20/2020,2,AR
6/21/2020,2,AR
6/22/2020,2,AR
6/23/2020,2,AR
6/24/2020,2,AR
6/25/2020,2,AR
6/26/2020,2,AR
6/27/2020,2,AR
6/28/2020,2,AR
6/29/2020,2,AR
6/30/2020,2,AR
7/1/2020,2,AR
7/2/2020,2,AR
7/3/2020,2,AR
7/4/2020,2,AR
7/5/2020,2,AR
7/6/2020,2,AR
7/7/2020,2,AR
7/8/2020,2,AR
7/9/2020,2,AR
7/10/2020,2,AR
7/11/2020,2,AR
7/12/2020,2,AR
7/13/2020,2,AR
7/14/2020,2,AR
7/15/2020,2,AR
7/16/2020,2,AR
7/17/2020,2,AR
7/18/2020,2,AR
7/19/2020,2,AR
7/20/2020,2,AR
7/21/2020,2,AR
7/22/2020,2,AR
7/23/2020,2,AR
7/24/2020,2,AR
7/25/2020,2,AR
7/26/2020,2,AR
7/27/2020,2,AR
7/28/2020,2,AR
7/29/2020,2,AR
7/30/2020,2,AR
7/31/2020,2,AR
8/1/2020,2,AR
8/2/2020,2,AR
8/3/2020,2,AR
8/4/2020,2,AR
8/5/2020,2,AR
8/6/2020,2,AR
8/7/2020,2,AR
8/8/2020,2,AR
8/9/2020,2,AR
8/10/2020,2,AR
8/11/2020,2,AR
8/12/2020,2,AR
8/13/2020,2,AR
8/14/2020,2,AR
8/15/2020,2,AR
8/16/2020,2,AR
8/17/2020,2,AR
8/18/2020,2,AR
8/19/2020,2,AR
8/20/2020,2,AR
8/21/2020,2,AR
8/22/2020,2,AR
8/23/2020,2,AR
8/25/2020,1,AR
8/26/2020,1,AR
8/27/2020,1,AR
8/28/2020,1,AR
8/29/2020,1,AR
8/30/2020,1,AR
8/31/2020,1,AR
9/1/2020,1,AR
9/2/2020,1,AR
9/3/2020,1,AR
9/4/2020,1,AR
9/5/2020,1,AR
9/6/2020,1,AR
9/7/2020,1,AR
9/8/2020,1,AR
9/9/2020,1,AR
9/10/2020,1,AR
9/11/2020,1,AR
9/12/2020,1,AR
9/13/2020,1,AR
9/14/2020,1,AR
9/15/2020,1,AR
9/16/2020,1,AR
9/17/2020,1,AR
9/18/2020,1,AR
9/19/2020,1,AR
9/20/2020,1,AR
9/21/2020,1,AR
9/22/2020,1,AR
9/23/2020,1,AR
9/24/2020,1,AR
9/25/2020,1,AR
9/26/2020,1,AR
9/27/2020,1,AR
9/28/2020,1,AR
9/29/2020,1,AR
9/30/2020,1,AR
10/1/2020,1,AR
10/2/2020,1,AR
10/3/2020,1,AR
10/4/2020,1,AR
10/5/2020,1,AR
10/6/2020,1,AR
10/7/2020,1,AR
10/8/2020,1,AR
10/9/2020,1,AR
10/10/2020,1,AR
10/11/2020,1,AR
2/1/2020,0,AZ
3/16/2020,1,AZ
3/30/2020,4,AZ
5/16/2020,1,AZ
6/29/2020,3,AZ
2/2/2020,0,AZ
2/3/2020,0,AZ
2/4/2020,0,AZ
2/5/2020,0,AZ
2/6/2020,0,AZ
2/7/2020,0,AZ
2/8/2020,0,AZ
2/9/2020,0,AZ
2/10/2020,0,AZ
2/11/2020,0,AZ
2/12/2020,0,AZ
2/13/2020,0,AZ
2/14/2020,0,AZ
2/15/2020,0,AZ
2/16/2020,0,AZ
2/17/2020,0,AZ
2/18/2020,0,AZ
2/19/2020,0,AZ
2/20/2020,0,AZ
2/21/2020,0,AZ
2/22/2020,0,AZ
2/23/2020,0,AZ
2/24/2020,0,AZ
2/25/2020,0,AZ
2/26/2020,0,AZ
2/27/2020,0,AZ
2/28/2020,0,AZ
2/29/2020,0,AZ
3/1/2020,0,AZ
3/2/2020,0,AZ
3/3/2020,0,AZ
3/4/2020,0,AZ
3/5/2020,0,AZ
3/6/2020,0,AZ
3/7/2020,0,AZ
3/8/2020,0,AZ
3/9/2020,0,AZ
3/10/2020,0,AZ
3/11/2020,0,AZ
3/12/2020,0,AZ
3/13/2020,0,AZ
3/14/2020,0,AZ
3/15/2020,0,AZ
3/17/2020,1,AZ
3/18/2020,1,AZ
3/19/2020,1,AZ
3/20/2020,1,AZ
3/21/2020,1,AZ
3/22/2020,1,AZ
3/23/2020,1,AZ
3/24/2020,1,AZ
3/25/2020,1,AZ
3/26/2020,1,AZ
3/27/2020,1,AZ
3/28/2020,1,AZ
3/29/2020,1,AZ
3/31/2020,4,AZ
4/1/2020,4,AZ
4/2/2020,4,AZ
4/3/2020,4,AZ
4/4/2020,4,AZ
4/5/2020,4,AZ
4/6/2020,4,AZ
4/7/2020,4,AZ
4/8/2020,4,AZ
4/9/2020,4,AZ
4/10/2020,4,AZ
4/11/2020,4,AZ
4/12/2020,4,AZ
4/13/2020,4,AZ
4/14/2020,4,AZ
4/15/2020,4,AZ
4/16/2020,4,AZ
4/17/2020,4,AZ
4/18/2020,4,AZ
4/19/2020,4,AZ
4/20/2020,4,AZ
4/21/2020,4,AZ
4/22/2020,4,AZ
4/23/2020,4,AZ
4/24/2020,4,AZ
4/25/2020,4,AZ
4/26/2020,4,AZ
4/27/2020,4,AZ
4/28/2020,4,AZ
4/29/2020,4,AZ
4/30/2020,4,AZ
5/1/2020,4,AZ
5/2/2020,4,AZ
5/3/2020,4,AZ
5/4/2020,4,AZ
5/5/2020,4,AZ
5/6/2020,4,AZ
5/7/2020,4,AZ
5/8/2020,4,AZ
5/9/2020,4,AZ
5/10/2020,4,AZ
5/11/2020,4,AZ
5/12/2020,4,AZ
5/13/2020,4,AZ
5/14/2020,4,AZ
5/15/2020,4,AZ
5/17/2020,1,AZ
5/18/2020,1,AZ
5/19/2020,1,AZ
5/20/2020,1,AZ
5/21/2020,1,AZ
5/22/2020,1,AZ
5/23/2020,1,AZ
5/24/2020,1,AZ
5/25/2020,1,AZ
5/26/2020,1,AZ
5/27/2020,1,AZ
5/28/2020,1,AZ
5/29/2020,1,AZ
5/30/2020,1,AZ
5/31/2020,1,AZ
6/1/2020,1,AZ
6/2/2020,1,AZ
6/3/2020,1,AZ
6/4/2020,1,AZ
6/5/2020,1,AZ
6/6/2020,1,AZ
6/7/2020,1,AZ
6/8/2020,1,AZ
6/9/2020,1,AZ
6/10/2020,1,AZ
6/11/2020,1,AZ
6/12/2020,1,AZ
6/13/2020,1,AZ
6/14/2020,1,AZ
6/15/2020,1,AZ
6/16/2020,1,AZ
6/17/2020,1,AZ
6/18/2020,1,AZ
6/19/2020,1,AZ
6/20/2020,1,AZ
6/21/2020,1,AZ
6/22/2020,1,AZ
6/23/2020,1,AZ
6/24/2020,1,AZ
6/25/2020,1,AZ
6/26/2020,1,AZ
6/27/2020,1,AZ
6/28/2020,1,AZ
6/30/2020,3,AZ
7/1/2020,3,AZ
7/2/2020,3,AZ
7/3/2020,3,AZ
7/4/2020,3,AZ
7/5/2020,3,AZ
7/6/2020,3,AZ
7/7/2020,3,AZ
7/8/2020,3,AZ
7/9/2020,3,AZ
7/10/2020,3,AZ
7/11/2020,3,AZ
7/12/2020,3,AZ
7/13/2020,3,AZ
7/14/2020,3,AZ
7/15/2020,3,AZ
7/16/2020,3,AZ
7/17/2020,3,AZ
7/18/2020,3,AZ
7/19/2020,3,AZ
7/20/2020,3,AZ
7/21/2020,3,AZ
7/22/2020,3,AZ
7/23/2020,3,AZ
7/24/2020,3,AZ
7/25/2020,3,AZ
7/26/2020,3,AZ
7/27/2020,3,AZ
7/28/2020,3,AZ
7/29/2020,3,AZ
7/30/2020,3,AZ
7/31/2020,3,AZ
8/1/2020,3,AZ
8/2/2020,3,AZ
8/3/2020,3,AZ
8/4/2020,3,AZ
8/5/2020,3,AZ
8/6/2020,3,AZ
8/7/2020,3,AZ
8/8/2020,3,AZ
8/9/2020,3,AZ
8/10/2020,3,AZ
8/11/2020,3,AZ
8/12/2020,3,AZ
8/13/2020,3,AZ
8/14/2020,3,AZ
8/15/2020,3,AZ
8/16/2020,3,AZ
8/17/2020,3,AZ
8/18/2020,3,AZ
8/19/2020,3,AZ
8/20/2020,3,AZ
8/21/2020,3,AZ
8/22/2020,3,AZ
8/23/2020,3,AZ
8/24/2020,3,AZ
8/25/2020,3,AZ
8/26/2020,3,AZ
8/27/2020,3,AZ
8/28/2020,3,AZ
8/29/2020,3,AZ
8/30/2020,3,AZ
8/31/2020,3,AZ
9/1/2020,3,AZ
9/2/2020,3,AZ
9/3/2020,3,AZ
9/4/2020,3,AZ
9/5/2020,3,AZ
9/6/2020,3,AZ
9/7/2020,3,AZ
9/8/2020,3,AZ
9/9/2020,3,AZ
9/10/2020,3,AZ
9/11/2020,3,AZ
9/12/2020,3,AZ
9/13/2020,3,AZ
9/14/2020,3,AZ
9/15/2020,3,AZ
9/16/2020,3,AZ
9/17/2020,3,AZ
9/18/2020,3,AZ
9/19/2020,3,AZ
9/20/2020,3,AZ
9/21/2020,3,AZ
9/22/2020,3,AZ
9/23/2020,3,AZ
9/24/2020,3,AZ
9/25/2020,3,AZ
9/26/2020,3,AZ
9/27/2020,3,AZ
9/28/2020,3,AZ
9/29/2020,3,AZ
9/30/2020,3,AZ
10/1/2020,3,AZ
10/2/2020,3,AZ
10/3/2020,3,AZ
10/4/2020,3,AZ
10/5/2020,3,AZ
10/6/2020,3,AZ
10/7/2020,3,AZ
10/8/2020,3,AZ
10/9/2020,3,AZ
10/10/2020,3,AZ
10/11/2020,3,AZ
2/1/2020,0,CA
3/11/2020,1,CA
3/19/2020,5,CA
2/2/2020,0,CA
2/3/2020,0,CA
2/4/2020,0,CA
2/5/2020,0,CA
2/6/2020,0,CA
2/7/2020,0,CA
2/8/2020,0,CA
2/9/2020,0,CA
2/10/2020,0,CA
2/11/2020,0,CA
2/12/2020,0,CA
2/13/2020,0,CA
2/14/2020,0,CA
2/15/2020,0,CA
2/16/2020,0,CA
2/17/2020,0,CA
2/18/2020,0,CA
2/19/2020,0,CA
2/20/2020,0,CA
2/21/2020,0,CA
2/22/2020,0,CA
2/23/2020,0,CA
2/24/2020,0,CA
2/25/2020,0,CA
2/26/2020,0,CA
2/27/2020,0,CA
2/28/2020,0,CA
2/29/2020,0,CA
3/1/2020,0,CA
3/2/2020,0,CA
3/3/2020,0,CA
3/4/2020,0,CA
3/5/2020,0,CA
3/6/2020,0,CA
3/7/2020,0,CA
3/8/2020,0,CA
3/9/2020,0,CA
3/10/2020,0,CA
3/12/2020,1,CA
3/13/2020,1,CA
3/14/2020,1,CA
3/15/2020,1,CA
3/16/2020,1,CA
3/17/2020,1,CA
3/18/2020,1,CA
3/20/2020,5,CA
3/21/2020,5,CA
3/22/2020,5,CA
3/23/2020,5,CA
3/24/2020,5,CA
3/25/2020,5,CA
3/26/2020,5,CA
3/27/2020,5,CA
3/28/2020,5,CA
3/29/2020,5,CA
3/30/2020,5,CA
3/31/2020,5,CA
4/1/2020,5,CA
4/2/2020,5,CA
4/3/2020,5,CA
4/4/2020,5,CA
4/5/2020,5,CA
4/6/2020,5,CA
4/7/2020,5,CA
4/8/2020,5,CA
4/9/2020,5,CA
4/10/2020,5,CA
4/11/2020,5,CA
4/12/2020,5,CA
4/13/2020,5,CA
4/14/2020,5,CA
4/15/2020,5,CA
4/16/2020,5,CA
4/17/2020,5,CA
4/18/2020,5,CA
4/19/2020,5,CA
4/20/2020,5,CA
4/21/2020,5,CA
4/22/2020,5,CA
4/23/2020,5,CA
4/24/2020,5,CA
4/25/2020,5,CA
4/26/2020,5,CA
4/27/2020,5,CA
4/28/2020,5,CA
4/29/2020,5,CA
4/30/2020,5,CA
5/1/2020,5,CA
5/2/2020,5,CA
5/3/2020,5,CA
5/4/2020,5,CA
5/5/2020,5,CA
5/6/2020,5,CA
5/7/2020,5,CA
5/8/2020,5,CA
5/9/2020,5,CA
5/10/2020,5,CA
5/11/2020,5,CA
5/12/2020,5,CA
5/13/2020,5,CA
5/14/2020,5,CA
5/15/2020,5,CA
5/16/2020,5,CA
5/17/2020,5,CA
5/18/2020,5,CA
5/19/2020,5,CA
5/20/2020,5,CA
5/21/2020,5,CA
5/22/2020,5,CA
5/23/2020,5,CA
5/24/2020,5,CA
5/25/2020,5,CA
5/26/2020,5,CA
5/27/2020,5,CA
5/28/2020,5,CA
5/29/2020,5,CA
5/30/2020,5,CA
5/31/2020,5,CA
6/1/2020,5,CA
6/2/2020,5,CA
6/3/2020,5,CA
6/4/2020,5,CA
6/5/2020,5,CA
